"","text"
"1","communal violence in bhainsa telangana stones were pelted on muslims houses and some houses and vehicles were set ablaze"
"2","telangana section  has been imposed in bhainsa from january  to  after clash erupted between two groups on january  po"
"3","arsonist sets cars ablaze at dealership "
"4","arsonist sets cars ablaze at dealership  "
"5","lord jesus your love brings freedom and pardon fill me with your holy spirit and set my heart ablaze with your l "
"6","if this child was chinese this tweet would have gone viral social media would be ablaze snl would have made a racist j"
"7","several houses have been set ablaze in ngemsibaa village oku sub division in the north west region of cameroon by "
"8","asansol a bjp office in salanpur village was set ablaze last night bjp has alleged that tmc is behind the incident police has b"
"9","national security minister kan dapaahs side chic has set the internet ablaze with her latest powerful video "
"10","this creature whos soul is no longer clarent but blue ablaze this thing carrying memories memories of "
"11","images showing the havoc caused by the cameroon military as they torched houses in okuthe shameless military is reported"
"12","social media went bananas after chuba hubbard announced monday evening his plans to return to okstate "
"13","hausa youths set area office of apapaiganmu local council development area ablaze okada riders stormed the lg area office"
"14","under mamatabanerjee political violence amp  vandalism continues to unabated in west bengal office in asanol was"
"15","amen set the whole system ablaze man "
"16","images showing the havoc caused by the cameroon military as they torched houses in okuthe shameless military is "
"17","no cows today but our local factory is sadly still ablaze redjanuary "
"18","rengoku sets my heart ablaze ps i missed this style of coloring i do so here it is c  "
"19","paulzizkaphoto rundle ablaze wishing you all a good evening  "
"20","french cameroun set houses ablaze in ndu and roasted two young boys in their homes in targeted killings in a genocideinsou"
"21","cameroons bir soldiers on the  invaded the southerncameroons village of kimar  so setting ablaze a total of"
"22","as fires ablaze throughout the landas the prophosized apocalypse comes to fruitionnot a building standingas we all come st"
"23","thankfultuesday isaiah  when you pass through the waters i will be with you  and when you pass through the r "
"24","when you walk through the fire you will not be scorched and the flames will not set you ablaze  product"
"25","originally they were intended to be fired at boarders or the opposing ships crew from gunners in the shipss riggi "
"26","warm greetings to all on the occasion of lohri as winter passes by may everyones woes and troubles be set ablaze in t"
"27","another arson in njikomboyonwr the ambazombies yesterday  set ablaze the council building which country in the wo"
"28","another public market in haiti mysteriously set ablaze the independent merchants who are overwhelmingly women become"
"29","that is kind true sadly"
"30","i swear that jam will set the world ablaze"
"31","marivan kurdistan province monday jan th  protesters set the propaganda banner of qassemsoleimani ablaze i"
"32","marivan kurdistan province monday jan th  protesters set the propaganda banner of qassemsoleimani ablaze "
"33","how can you turn a blind eye to the icident of setting ablaze more than  houses of h "
"34","this love is so completely crazy youve been fucking with my dreams ripped me like your torn up jeans i dont ev "
"35","terms in a demon burning dark the ruined people who cannot use magic or interact with it without some harm or ac "
"36"," heartfelt appreciation to prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo "
"37","watch former cm akhilesh yadav who went to meet injured of kannauj accident at a hospital in chhibramau asks emergency med"
"38"," he gave us everything he had a horrible foot infection once so wore one thong "
"39","yeah his new swag is on point  since the accident like this is a totally transformed bob"
"40","this is cool and all these days i have been doing git push origin currentbranchname you know that "
"41","preorder newrelease today  witnesses connected to or investigating thenutcrackerconspiracy have died either in a"
"42","my back and neck are still fucked up from the accident "
"43","rt prince harry just confirmed that his mothers princess diana death was not an accident "
"44","note to democrats its not a muslim ban islam is not a race soleimani was a terrorist amp  was exterminated not assas"
"45","juwan johnsonoregon is one big dude looks like a tight end stuck in the receiver group by accident"
"46","more appearances of the man with the upsidedown face a new years eve party at an air force base in  where a man"
"47","the speeding car rammed into a group of people who were returning after attending a temple festival of ayyappan kavu in thum"
"48","my friend an army just lost her father in an accident and her mom right now is still unconscious please pray for her mo"
"49","mlindo the vocalist in another car accident "
"50","there are no greater treasures than the highest human qualities such as compassion courage and hope not even tragic accide"
"51","please help our friends in  they have had a non fault accident thats resulted in their vehicle being writte"
"52","when you hurt your younger sibling by accident "
"53","david camerons decision to hold a referendum expressed in the medium of a road traffic accident "
"54","an auto accident injury can set a process in motion that can get complicated find out how long it takes to settle "
"55","no one has the right to call a baby an accident jd himself called it a blessing he used the loveliest word to describe what"
"56","i actually posted this by accident to twitter but have decided this can stay"
"57","question lets say you are happily married and your husband dies in a tragic accident you are deveststed but this pussy not"
"58","the kampala metropolitan east has in custody two suspects who allegedly strangled to death a passenger "
"59","in completely available public information  the fires were mostly started by humans on purpose or on accident with th"
"60","during my phd there was a colleague who went out of her way to bully and cause work discomfort for me i "
"61","the speeding car rammed into a group of people who were returning after attending a temple festival of ayyappan ka "
"62","yr old bella needs a new home due to an incident that was an accident she can live with older kids and in the right ho"
"63","look at this shitshe need her little ass whooped before she hit somebody by accident lecheminduroi bransoncognac starzge"
"64","youre not an accident on the earth youre gods divinely crafted masterpiece he designed you with a destiny in v "
"65","iran says that they shot down ukraine international flight  by accident here is an picture of that aircraft in "
"66","saw this truck with the container almost falling off this morning reported"
"67","judge less smile more it isnt the oldest profession by accident lol"
"68","puerto rico hit by another  magnitude aftershock  kyma "
"69"," aftershock at  am i was asleep and the movement of my bed woke me up not so scary but i wish they werent "
"70","good night my friends as per usgs the new  quake in this morning caused the day aftershock forecast to change"
"71","yea it wasnt that long she killed me in like  or  seconds but not sure would have to "
"72","honored to have an essay in aftershock marking the th anniversary of alvin tofflers future shock compendium of essays in t"
"73","tickets on sale  aftershock  nowplaying khdradio"
"74","come with us to aftershock"
"75","oo  i think i felt your aftershock"
"76","a quick comparison of the ongoing  m puerto rico earthquake sequence and the  m central california sequenc"
"77","why are puerto ricans refusing to go home aside from the  aftershock just now the ground in southwest puerto rico has"
"78","  inception the social network easy a black swan toy story  the kids are all right aftershock"
"79","puerto rico hit by another  magnitude aftershock  kyma "
"80","puerto rico hit by another  magnitude aftershock  kyma "
"81","a other hard hit "
"82","musharaf verdict was just mild aftershock of extension one should not worry what comes after extention"
"83","puerto rico hit by another  magnitude aftershock  kyma "
"84","kumera yellow aftershock phfossil featured in bankbtn good living magazine photography stylist shino "
"85","puerto rico hit by another  magnitude aftershock  kyma "
"86","please pray for puertorico "
"87","puerto rico hit by another  magnitude aftershock  kyma "
"88","     yakovz "
"89","darkake yeek possessor was killed by possession aftershock on ritches tunnels  "
"90","check out my latest video superzero vol   closer look  a closer look at superzero vol  by am"
"91","might be a small aftershock i didnt feel anything"
"92","stay informed stay engaged with whats going on in puertorico after the earthquake the usgs day aftershock s "
"93","this isnt good i feel for the people of puerto rico "
"94","aftershock vapor  pro review  aussie aussie aussie  powerupau"
"95","puerto rico worker explains earthquake aftershock pleading to go viral  via"
"96","this is an unfathomable number i lived through a large earthquake and we slept under the table for one terrible night"
"97","nah i need calm down  "
"98","thinking about how some spat blood at me during marilyn mansons set at aftershock "
"99","if two quakes have about the same magnitude you cannot say one is the others preshock or aftershock only when one is obv"
"100","an mm aftershock happens within  days after an mm main shock if you can predict it then you can say it is an"
"101","i dont think silivri m is an aftershock of the silivri m a few months ago  quake professors always say such nonsen"
"102","i think its an aftershock from s lyrical beat down brent never recovered"
"103","apex is all about separating from monarch theyre separation well from my theory on how mechagod "
"104","thinking about how some spat blood at me during marilyn mansons set at aftershock "
"105","or sending my mate simon to the bar and asking for a guiness but ending up with a carlsberg export and a mint after"
"106","usgs earthquake experts are in puertorico installing temporary seismometers to help track seismic events including a jan  ma"
"107","puerto rico hit by another  magnitude aftershock  kyma "
"108","over the weekend puerto rico was struck by a  aftershock causing more damage to homes and schools and leaving thou"
"109","how could you leave when i gave you my all "
"110","for the full experience start with this one st in the series food was running low to save the young the governor"
"111","the magnitude  quake in puertorico this morning caused our day aftershock forecast to change we now estimate an increased"
"112","we continue to update our day aftershock forecast scenarios for puertorico forecasts are posted in both english "
"113","another  aftershock has hit puerto rico after last night people cannot go home if they even have one they have no po"
"114","aftershock comics we prefer working in partnership with our creators to build out that team from the ground up"
"115","did the other earthquakeaftershock mess up the power again"
"116","aftershock forecast for puerto rico"
"117","like iran shooting an airplane was an accident"
"118","bing bong airplane accident remix"
"119","morgan is surprised to see shaun back at work already and offers her condolences on his dad shaun says the airplan "
"120","thats a load of rubbish there was never an imminent threat jesus christiran sho "
"121","actually blocking the internet was just an accident you know just like when iran shot down the ukrainian airplane"
"122","conclusion  on previous page is incorrect imho the witness observations of a streak of light we "
"123","the celebrities in iran that are very sadly about our compatriots that killed with downing uk airplanenot only di "
"124","so iranian radars cannot tell the difference between an incoming missile and an out going ukrainian airplane what "
"125","had a look at your timeline i see you hate my coun "
"126","military mistakes  usmilitary shot down an iranian passenger airplane  iranian military shot down an ukr "
"127","secret antispying services in the middle east should be on high alert the demolition of the commercial airplane u"
"128","my friend i live here  believe me its our basic rights that know what happened "
"129","secret antispying services in the middle east should be on high alert the demolition of the commercial airpl "
"130","how is it that iran fired between  and  surface to surface missilesthen fired a surface to air missile at "
"131","basically you killed the general put the whole country into a confusing status they shoot a civ "
"132","no i was referring to the shooting down of the airplane i really do"
"133","no i was referring to the shooting down of the airplane i "
"134","and anyone who believes that incident was an accident is an idiot an airplane at approx  fee"
